item_id;parent_id;title;access_code;access_use;version;identifier_local;identifier_doi;embargo_date;mods_fedora_filepath;obj_fedora_filepath;obj_mimetype
item:4175194;;"In-situ and ex-situ EPS-corona formation on ZnO QDs mitigates their environmental toxicity in the freshwater microalgae Chlorella sp.";;;;;;;datastreamStore/00/info%3Afedora%2Fitem%3A4175194%2FMODS%2FMODS.0;;
item:4175195;info:fedora/item:4175194;"Full text";info:eu-repo/semantics/embargoedAccess;https://hdl.handle.net/1887/license:4;"Accepted Manuscript";1339701337;10.1016/j.jhazmat.2024.137034;2025-09-15;datastreamStore/04/info%3Afedora%2Fitem%3A4175195%2FMODS%2FMODS.0;datastreamStore/6b/info%3Afedora%2Fitem%3A4175195%2FOBJ%2FOBJ.0;application/pdf
item:4177209;;"CD8+ T-cells in atherosclerosis";;;;;;;datastreamStore/63/info%3Afedora%2Fitem%3A4177209%2FMODS%2FMODS.0;;
item:4177210;info:fedora/item:4177209;Cover;info:eu-repo/semantics/openAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340352951;;;datastreamStore/d1/info%3Afedora%2Fitem%3A4177210%2FMODS%2FMODS.0;datastreamStore/a1/info%3Afedora%2Fitem%3A4177210%2FOBJ%2FOBJ.0;application/pdf
item:4177211;info:fedora/item:4177209;"Full Text";info:eu-repo/semantics/embargoedAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340353177;;2026-07-23;datastreamStore/e4/info%3Afedora%2Fitem%3A4177211%2FMODS%2FMODS.0;datastreamStore/57/info%3Afedora%2Fitem%3A4177211%2FOBJ%2FOBJ.0;application/pdf
item:4177212;info:fedora/item:4177209;"Title Pages_Contents";info:eu-repo/semantics/openAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340353065;;;datastreamStore/1e/info%3Afedora%2Fitem%3A4177212%2FMODS%2FMODS.0;datastreamStore/6f/info%3Afedora%2Fitem%3A4177212%2FOBJ%2FOBJ.0;application/pdf
item:4177213;info:fedora/item:4177209;"Chapter 1";info:eu-repo/semantics/openAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340353037;;;datastreamStore/27/info%3Afedora%2Fitem%3A4177213%2FMODS%2FMODS.0;datastreamStore/07/info%3Afedora%2Fitem%3A4177213%2FOBJ%2FOBJ.0;application/pdf
item:4177214;info:fedora/item:4177209;"Chapter 2";info:eu-repo/semantics/openAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340353121;10.1093/cvr/cvaa286;;datastreamStore/b9/info%3Afedora%2Fitem%3A4177214%2FMODS%2FMODS.0;datastreamStore/67/info%3Afedora%2Fitem%3A4177214%2FOBJ%2FOBJ.0;application/pdf
item:4177215;info:fedora/item:4177209;"Chapter 3";info:eu-repo/semantics/openAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340353149;10.1161/ATVBAHA.123.320511;;datastreamStore/78/info%3Afedora%2Fitem%3A4177215%2FMODS%2FMODS.0;datastreamStore/a8/info%3Afedora%2Fitem%3A4177215%2FOBJ%2FOBJ.0;application/pdf
item:4177216;info:fedora/item:4177209;"Chapter 4";info:eu-repo/semantics/embargoedAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340353009;;2026-07-23;datastreamStore/68/info%3Afedora%2Fitem%3A4177216%2FMODS%2FMODS.0;datastreamStore/0f/info%3Afedora%2Fitem%3A4177216%2FOBJ%2FOBJ.0;application/pdf
item:4177217;info:fedora/item:4177209;"Chapter 5";info:eu-repo/semantics/openAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340353233;doi:10.1161/ATVBAHA.123.320539;;datastreamStore/62/info%3Afedora%2Fitem%3A4177217%2FMODS%2FMODS.0;datastreamStore/5f/info%3Afedora%2Fitem%3A4177217%2FOBJ%2FOBJ.0;application/pdf
item:4177218;info:fedora/item:4177209;"Chapter 6";info:eu-repo/semantics/embargoedAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340353093;;2026-07-23;datastreamStore/30/info%3Afedora%2Fitem%3A4177218%2FMODS%2FMODS.0;datastreamStore/ff/info%3Afedora%2Fitem%3A4177218%2FOBJ%2FOBJ.0;application/pdf
item:4177219;info:fedora/item:4177209;"Chapter 7";info:eu-repo/semantics/openAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340352923;;;datastreamStore/da/info%3Afedora%2Fitem%3A4177219%2FMODS%2FMODS.0;datastreamStore/21/info%3Afedora%2Fitem%3A4177219%2FOBJ%2FOBJ.0;application/pdf
item:4177342;info:fedora/item:4177209;"Summary in Dutch";info:eu-repo/semantics/openAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340443814;;;datastreamStore/95/info%3Afedora%2Fitem%3A4177342%2FMODS%2FMODS.0;datastreamStore/c5/info%3Afedora%2Fitem%3A4177342%2FOBJ%2FOBJ.0;application/pdf
item:4177220;info:fedora/item:4177209;"List of Publications_Curriculum Vitae_PhD Portfolio";info:eu-repo/semantics/openAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340352979;;;datastreamStore/d0/info%3Afedora%2Fitem%3A4177220%2FMODS%2FMODS.0;datastreamStore/5c/info%3Afedora%2Fitem%3A4177220%2FOBJ%2FOBJ.0;application/pdf
item:4177221;info:fedora/item:4177209;Propositions;info:eu-repo/semantics/openAccess;https://hdl.handle.net/1887/license:5;"Publisher's Version";1340353205;;;datastreamStore/48/info%3Afedora%2Fitem%3A4177221%2FMODS%2FMODS.0;datastreamStore/13/info%3Afedora%2Fitem%3A4177221%2FOBJ%2FOBJ.0;application/pdf